,pop,spch,acous,dur,val,live,dB,dnce,nrgy,bpm,title
0,10,10,10,10,4,4,3,2,10,4,Someone You Loved
1,2,10,10,8,10,4,10,10,10,9,Atlas - From “The Hunger Games: Catching Fire” Soundtrack
2,2,7,10,10,10,5,3,4,2,10,Change
3,10,10,10,10,3,5,2,10,10,5,All of Me
4,8,2,4,10,10,9,5,10,4,5,Treasure
5,8,4,10,5,3,7,3,5,2,9,Dark Horse
6,10,10,10,10,10,6,7,10,10,10,Free Me
7,8,4,6,10,10,10,7,10,4,5,Love You Like A Love Song
8,9,10,9,10,10,4,2,10,10,9,A Thousand Years
9,8,6,2,4,8,4,3,9,4,5,Want to Want Me
10,4,10,10,7,10,5,10,6,10,4,This Town
11,6,6,2,8,10,4,3,5,2,10,End Game
12,6,4,9,10,10,3,3,10,2,10,Let Me
13,8,8,8,4,2,4,5,10,4,10,Impossible
14,3,2,10,2,10,9,3,8,2,6,Angel
15,4,4,5,2,10,4,7,10,9,9,All About That Bass
16,6,10,7,10,10,4,5,3,4,5,Adore You
17,2,10,8,5,10,9,10,10,7,10,XO
18,6,10,8,3,5,9,7,10,9,4,Rich Love (with Seeb)
19,10,10,4,2,9,3,3,9,2,5,Señorita
20,3,8,2,7,9,10,7,5,10,9,If I Had You
21,3,10,8,9,4,9,2,4,2,10,Imma Be
22,8,2,10,5,8,10,2,4,10,10,I Knew You Were Trouble.
23,7,8,8,2,4,9,2,6,2,3,Team
24,9,10,8,5,5,9,3,3,4,3,Call You Mine
25,10,2,10,10,2,3,10,2,10,4,Start
26,6,9,2,3,5,9,2,10,2,4,Hands To Myself
27,9,2,5,7,10,9,7,8,4,9,Locked Out of Heaven
28,5,2,7,9,2,4,3,10,2,9,human
29,4,4,5,7,2,3,2,4,4,5,Broken Arrows
30,3,7,2,2,9,9,7,6,10,9,My First Kiss - feat. Ke$ha
31,10,7,7,10,10,10,3,9,2,2,Only Human
32,2,6,10,9,2,9,10,2,4,3,Lust for Life (with The Weeknd)
33,9,2,10,10,8,2,7,7,10,5,Bad Romance
34,10,4,10,9,7,2,5,10,2,4,Dangerous
35,4,4,4,10,10,10,7,9,9,3,MOVE TO MIAMI
36,7,7,8,5,8,2,3,10,10,6,Bad Liar
37,4,2,10,8,3,9,2,2,8,10,Out Of The Woods
38,4,2,6,10,3,8,3,2,4,3,Wherever I Go
39,2,7,10,6,6,3,7,4,10,7,We Are One (Ole Ola) [The Official 2014 FIFA World Cup Song]
40,4,4,4,7,2,5,7,5,10,7,Tonight (I'm Fuckin' You)
41,5,2,10,6,10,7,7,6,7,9,The One That Got Away
42,3,4,5,2,10,5,7,10,6,10,Shot Me Down (feat. Skylar Grey) - Radio Edit
43,8,9,5,5,10,9,5,5,7,10,Shake It Off
44,4,2,2,7,6,5,10,4,10,4,G.U.Y.
45,10,10,10,4,6,5,3,8,5,2,I Luh Ya Papi
46,3,2,10,2,6,9,7,3,9,10,Made In The USA
47,8,6,9,10,5,4,7,8,3,3,Starving
48,3,4,8,10,7,10,3,3,3,10,Mirrors - Radio Edit
49,9,4,10,8,4,5,5,3,4,8,Take Me To Church
50,4,2,10,3,9,3,10,9,10,7,What Do You Mean? - Acoustic
51,9,7,2,8,8,7,3,6,8,5,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")"
52,2,4,2,7,6,3,7,2,7,10,Come & Get It
53,2,8,8,7,6,8,2,7,4,6,Make Me... (feat. G-Eazy)
54,2,4,5,9,10,10,10,10,8,8,S&M Remix
55,4,6,8,6,8,2,7,7,10,5,Love Runs Out
56,6,7,4,10,8,5,2,10,3,6,Nervous
57,2,7,5,7,4,5,5,5,8,3,Perfect
58,10,4,6,3,9,2,3,9,6,5,Kissing Strangers - Remix
59,7,2,8,7,6,7,2,9,2,6,Rather Be (feat. Jess Glynne)
60,3,10,6,10,3,6,3,2,8,2,Girl On Fire (feat. Nicki Minaj) - Inferno Version
61,3,10,10,5,8,10,5,7,8,3,We Don't Talk Anymore - DROELOE Remix
62,3,10,3,2,6,10,10,10,8,5,WTF (Where They From)
63,8,8,4,2,8,2,2,5,5,3,I Took A Pill In Ibiza - Seeb Remix
64,7,4,10,4,9,8,5,7,4,8,Die Young
65,5,7,7,7,2,9,5,3,10,10,Only Love Can Hurt Like This
66,7,4,10,7,5,8,10,8,7,3,Slide (feat. Frank Ocean & Migos)
67,10,6,9,10,5,10,10,6,10,2,Good as Hell (feat. Ariana Grande) - Remix
68,2,8,4,6,7,2,10,5,9,5,DJ Got Us Fallin' In Love (feat. Pitbull)
69,5,10,7,10,3,7,7,9,3,3,Suit & Tie
